codigo_departamento,departamento,anio,pib_total_miles_millones_cop,pib_variacion_pct_anual_vs_anio_previo,total_admitidos,total_matriculados,ratio_matriculados_sobre_admitidos,var_pct_matriculados_vs_anio_previo,ipc_nacional_total_var_mensual_media,ipc_nacional_total_var_mensual_mediana,ipc_nacional_total_var_mensual_std,ipc_nacional_educacion_var_mensual_media,ipc_nacional_educacion_var_mensual_mediana,ipc_nacional_educacion_var_mensual_std,ipc_nacional_alimentos_var_mensual_media,ipc_nacional_alimentos_var_mensual_mediana,ipc_nacional_alimentos_var_mensual_std,ipc_nacional_transporte_var_mensual_media,ipc_nacional_transporte_var_mensual_mediana,ipc_nacional_transporte_var_mensual_std,ipc_capital_total_var_mensual_media,ipc_capital_educacion_var_mensual_media,geih_td_nacional_media_anual,geih_to_nacional_media_anual,geih_tgp_nacional_media_anual,proxy_pib_miles_mm_cop_por_matriculado,spadies_td_anual_tyt,spadies_td_anual_tecnico_profesional,spadies_td_anual_tecnologico,outcome_tasa_desercion_snies,indice_vulnerabilidad_pca,indice_vulnerabilidad_teorico,cluster_km,cluster_hierarchical,pc1,pc2,cluster_KMeans
25,Cundinamarca,2023,99944.84284715296,9.18109900501313,14579.0,62465.0,4.284587420262021,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.7541666666666668,0.9008333333333334,10.165585191866676,57.6205466251543,64.13746922177585,1.6000134931105894,0.0543025676613462,0.0326615705350938,0.0615028901734104,0.0698302981966414,-0.7603558561763816,-0.2106909503326329,0.0,0.0,-0.7603558561763816,-0.0600437231240667,0
27,Chocó,2023,6891.326024081319,12.828840794814669,5814.0,35114.0,6.039559683522532,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,,,10.165585191866676,57.6205466251543,64.13746922177585,0.1962557960950424,0.0765432098765432,0.0629921259842519,0.0993377483443708,0.0633684634490165,-0.7150173211669898,-0.0772617508734146,0.0,0.0,-0.7150173211669898,0.3461268477913015,0
41,Huila,2023,26533.032811661746,8.313363431410867,6657.0,40414.0,6.070902809073156,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.6533333333333333,0.8525,10.165585191866676,57.6205466251543,64.13746922177585,0.6565307272643575,0.127576054955839,0.1654571843251088,0.1082283172720533,0.0788555224314695,-0.4617942453073119,-0.0162625030385343,0.0,0.0,-0.4617942453073119,-0.1319139192704596,0
44,La Guajira,2023,20346.021143398808,-11.075340728499542,5365.0,32777.0,6.109412861136999,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.7516666666666666,0.91,10.165585191866676,57.6205466251543,64.13746922177585,0.6207407982243283,0.1588618850029638,0.1641061452513966,0.1294117647058823,0.0900986730180333,-0.0449699538639651,0.3509286624183498,0.0,0.0,-0.0449699538639651,-2.3004357339960886,0
47,Magdalena,2023,21913.945364290445,9.253244993854189,11928.0,68486.0,5.741616364855801,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.8383333333333334,0.9808333333333332,10.165585191866676,57.6205466251543,64.13746922177585,0.3199770079182671,0.1594809543742151,0.1070961412688031,0.2526162790697674,0.0469194471403232,1.0317321523624312,0.3274998476644006,0.0,0.0,1.0317321523624312,0.2526136271315853,0
50,Meta,2023,53796.70492802196,-3.39280010581859,3453.0,19628.0,5.684332464523603,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.5808333333333333,0.7941666666666666,10.165585191866676,57.6205466251543,64.13746922177585,2.7408143941319523,0.1274285714285714,0.0748959778085991,0.1642371234207968,0.0915567801613855,0.7826631862414899,0.1656162514694933,0.0,0.0,0.7826631862414899,-1.3485473359351277,0
52,Nariño,2023,23455.45084472392,8.65424916145797,8843.0,64288.0,7.269931018884994,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.7041666666666667,0.8983333333333334,10.165585191866676,57.6205466251543,64.13746922177585,0.3648495962656159,0.1030013642564802,0.2142857142857142,0.0937961595273264,0.0591731492002447,-0.70058536581166,-0.040821206358095,0.0,0.0,-0.70058536581166,-0.0881903208365739,0
54,Norte de Santander,2023,25300.805061019302,8.461844039827046,14603.0,96678.0,6.6204204615489965,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.75,0.9616666666666668,10.165585191866676,57.6205466251543,64.13746922177585,0.2617017838703666,0.11630990717939,0.1158878504672897,0.1163575042158516,0.0526737914302327,-0.4824959513511476,0.0159254940128672,0.0,0.0,-0.4824959513511476,-0.0257675751180776,0
63,Quindío,2023,13317.0405703164,9.721753396935798,7502.0,43046.0,5.7379365502532655,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.6916666666666665,1.0641666666666667,10.165585191866676,57.6205466251543,64.13746922177585,0.3093676664571946,0.1006993006993007,0.1148936170212766,0.0979079497907949,0.0765935681861773,-0.6744950437627559,-0.039986707161049,0.0,0.0,-0.6744950437627559,0.0066093234217282,0
66,Risaralda,2023,26404.083424074124,10.571378984821903,15977.0,62758.0,3.928021530950742,,0.7425,0.52,0.5055712340781194,0.9308333333333332,0.065,2.436112619927432,0.4116666666666666,0.21,0.9865535356927564,1.2066666666666668,1.0750000000000002,1.01850454841965,0.6808333333333333,1.106666666666667,10.165585191866676,57.6205466251543,64.13746922177585,0.4207285672595386,0.1122178988326848,0.1233737101839389,0.1062917063870352,0.073163910930891,-0.5677664358757812,-0.0457391694409016,0.0,0.0,-0.5677664358757812,0.148512021654695,0
